gender,situation,tea,coffee,height,weight,age,meat,fish,raw_fruit,cooked_fruit_veg,chocol,fat
female,single,0,0,151,58,72,4-6 times a week,2-3 times a week,less than one a week,4-6 times a week,everyday,mix of vegetables oil
female,single,1,1,162,60,68,everyday,once a week,everyday,everyday,less than one a week,sunflower oil
female,single,0,4,162,75,78,2-3 times a week,less than one a week,everyday,once a week,everyday,sunflower oil
female,single,0,0,154,45,91,never,4-6 times a week,4-6 times a week,never,2-3 times a week,margarine
female,single,2,1,154,50,65,everyday,2-3 times a week,everyday,everyday,2-3 times a week,margarine
female,single,2,0,159,66,82,4-6 times a week,once a week,everyday,everyday,less than one a week,peanut oil
female,single,2,0,160,66,74,2-3 times a week,2-3 times a week,everyday,everyday,everyday,mix of vegetables oil
female,single,0,2,163,66,73,4-6 times a week,once a week,everyday,everyday,less than one a week,mix of vegetables oil
female,single,0,3,154,60,89,4-6 times a week,2-3 times a week,everyday,everyday,everyday,mix of vegetables oil
female,single,0,2,160,77,87,once a week,2-3 times a week,everyday,4-6 times a week,never,peanut oil
female,single,0,2,175,68,91,everyday,once a week,everyday,everyday,everyday,peanut oil
female,single,2,0,165,75,81,everyday,once a week,once a week,2-3 times a week,never,mix of vegetables oil
female,single,0,3,158,53,89,4-6 times a week,once a week,everyday,everyday,everyday,sunflower oil
female,single,2,0,155,63,79,2-3 times a week,less than one a week,everyday,2-3 times a week,once a week,sunflower oil
female,single,0,2,154,80,83,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,peanut oil
male,single,0,3,166,80,78,everyday,never,everyday,2-3 times a week,never,sunflower oil
female,single,0,2,159,57,74,2-3 times a week,once a week,everyday,2-3 times a week,less than one a week,sunflower oil
female,single,0,2,157,55,74,2-3 times a week,once a week,everyday,everyday,once a week,peanut oil
male,single,0,1,165,57,78,everyday,once a week,everyday,everyday,everyday,sunflower oil
female,single,0,0,156,90,78,everyday,less than one a week,everyday,everyday,once a week,sunflower oil
male,living with spouse,0,1,175,90,73,everyday,less than one a week,everyday,2-3 times a week,once a week,duck or goose fat
female,living with spouse,2,2,161,68,76,4-6 times a week,once a week,everyday,everyday,less than one a week,butter
male,living with spouse,2,2,168,83,85,4-6 times a week,once a week,everyday,everyday,less than one a week,butter
male,single,0,4,168,90,73,2-3 times a week,once a week,4-6 times a week,everyday,never,peanut oil
female,living with spouse,3,1,156,56,77,2-3 times a week,once a week,everyday,2-3 times a week,never,sunflower oil
male,living with spouse,3,2,170,70,74,2-3 times a week,once a week,everyday,2-3 times a week,never,sunflower oil
female,single,0,0,162,58,67,4-6 times a week,2-3 times a week,everyday,everyday,never,peanut oil
male,living with spouse,4,5,172,80,68,everyday,2-3 times a week,everyday,everyday,everyday,olive oil
female,single,1,1,165,75,69,4-6 times a week,2-3 times a week,everyday,everyday,everyday,peanut oil
male,living with spouse,0,2,171,81,71,4-6 times a week,once a week,everyday,everyday,everyday,peanut oil
female,living with spouse,0,1,160,54,67,4-6 times a week,4-6 times a week,everyday,2-3 times a week,once a week,sunflower oil
male,living with spouse,0,3,176,82,76,2-3 times a week,2-3 times a week,2-3 times a week,everyday,everyday,mix of vegetables oil
male,living with spouse,0,3,164,53,69,everyday,2-3 times a week,everyday,everyday,less than one a week,olive oil
female,living with spouse,1,2,156,58,67,everyday,2-3 times a week,everyday,everyday,everyday,peanut oil
female,single,0,2,153,70,69,everyday,never,everyday,everyday,2-3 times a week,olive oil
male,living with spouse,1,0,159,70,85,2-3 times a week,less than one a week,everyday,4-6 times a week,everyday,butter
male,living with spouse,0,5,170,60,74,4-6 times a week,once a week,everyday,everyday,everyday,butter
male,living with family,0,0,178,87,78,2-3 times a week,once a week,4-6 times a week,2-3 times a week,once a week,butter
male,living with spouse,1,2,172,86,73,once a week,everyday,everyday,everyday,less than one a week,sunflower oil
male,living with spouse,0,3,186,95,74,4-6 times a week,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,0,3,168,77,69,4-6 times a week,2-3 times a week,everyday,everyday,everyday,sunflower oil
male,single,0,0,181,94,71,2-3 times a week,once a week,everyday,2-3 times a week,everyday,olive oil
male,single,0,1,172,62,85,everyday,2-3 times a week,everyday,everyday,never,olive oil
male,living with spouse,0,0,160,55,70,everyday,2-3 times a week,everyday,everyday,everyday,margarine
female,living with spouse,0,0,155,50,73,everyday,less than one a week,everyday,everyday,never,peanut oil
male,living with spouse,0,1,172,81,74,everyday,less than one a week,everyday,everyday,never,peanut oil
female,living with spouse,0,2,160,62,77,2-3 times a week,once a week,2-3 times a week,everyday,never,sunflower oil
female,single,0,1,158,51,69,everyday,less than one a week,everyday,everyday,less than one a week,sunflower oil
female,single,0,2,160,49,76,2-3 times a week,2-3 times a week,everyday,everyday,2-3 times a week,sunflower oil
female,single,0,0,164,70,79,2-3 times a week,2-3 times a week,4-6 times a week,everyday,never,olive oil
female,living with spouse,0,3,153,60,65,2-3 times a week,2-3 times a week,2-3 times a week,4-6 times a week,2-3 times a week,sunflower oil
male,living with spouse,0,4,169,68,66,2-3 times a week,2-3 times a week,less than one a week,4-6 times a week,less than one a week,sunflower oil
female,single,2,1,165,65,85,everyday,everyday,everyday,everyday,2-3 times a week,olive oil
male,single,0,2,166,66,90,2-3 times a week,once a week,everyday,2-3 times a week,never,peanut oil
male,single,0,3,176,85,75,everyday,everyday,everyday,once a week,never,margarine
male,living with spouse,0,2,180,79,78,less than one a week,2-3 times a week,everyday,everyday,less than one a week,butter
male,single,0,2,174,75,87,2-3 times a week,2-3 times a week,everyday,everyday,everyday,butter
female,single,0,2,160,60,88,2-3 times a week,less than one a week,everyday,2-3 times a week,never,peanut oil
female,single,0,1,160,67,89,2-3 times a week,4-6 times a week,2-3 times a week,everyday,less than one a week,sunflower oil
male,living with spouse,0,0,188,82,70,4-6 times a week,2-3 times a week,everyday,4-6 times a week,never,peanut oil
female,living with spouse,2,0,160,83,71,2-3 times a week,2-3 times a week,everyday,4-6 times a week,2-3 times a week,mix of vegetables oil
male,living with spouse,0,2,179,67,76,everyday,once a week,everyday,2-3 times a week,2-3 times a week,margarine
female,living with spouse,2,1,157,57,72,everyday,once a week,less than one a week,everyday,everyday,sunflower oil
male,living with spouse,0,2,188,96,88,2-3 times a week,2-3 times a week,everyday,everyday,never,margarine
male,single,0,3,174,74,68,2-3 times a week,everyday,everyday,everyday,everyday,olive oil
male,single,0,2,173,75,72,everyday,2-3 times a week,everyday,2-3 times a week,everyday,butter
female,single,0,3,160,60,78,4-6 times a week,2-3 times a week,everyday,2-3 times a week,less than one a week,mix of vegetables oil
female,single,0,2,150,55,67,everyday,once a week,everyday,everyday,never,peanut oil
male,living with spouse,4,1,170,76,76,4-6 times a week,2-3 times a week,everyday,4-6 times a week,less than one a week,sunflower oil
male,living with spouse,0,3,180,90,68,everyday,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,0,2,152,60,69,everyday,2-3 times a week,everyday,4-6 times a week,less than one a week,sunflower oil
male,living with spouse,0,3,162,74,67,everyday,2-3 times a week,everyday,4-6 times a week,once a week,sunflower oil
female,living with spouse,1,2,152,64,66,everyday,2-3 times a week,2-3 times a week,everyday,everyday,peanut oil
male,living with spouse,0,2,165,90,79,everyday,once a week,everyday,everyday,everyday,olive oil
female,living with spouse,0,0,154,42,78,2-3 times a week,once a week,once a week,everyday,less than one a week,olive oil
male,living with spouse,0,1,173,80,74,2-3 times a week,2-3 times a week,4-6 times a week,everyday,everyday,olive oil
female,living with spouse,0,5,153,59,71,4-6 times a week,2-3 times a week,everyday,everyday,everyday,olive oil
female,living with spouse,0,1,175,50,77,2-3 times a week,4-6 times a week,everyday,everyday,4-6 times a week,margarine
male,living with spouse,0,0,177,63,78,2-3 times a week,4-6 times a week,everyday,everyday,never,margarine
male,living with spouse,0,3,172,79,78,4-6 times a week,once a week,everyday,everyday,less than one a week,peanut oil
female,living with spouse,4,1,167,70,75,4-6 times a week,once a week,everyday,everyday,less than one a week,peanut oil
female,living with spouse,0,2,155,52,67,2-3 times a week,less than one a week,everyday,4-6 times a week,never,sunflower oil
female,single,0,0,162,58,74,2-3 times a week,once a week,less than one a week,everyday,never,sunflower oil
female,single,0,2,156,54,76,4-6 times a week,once a week,everyday,everyday,2-3 times a week,sunflower oil
female,single,2,0,152,44,73,2-3 times a week,2-3 times a week,everyday,never,everyday,margarine
female,single,3,0,156,58,72,2-3 times a week,4-6 times a week,everyday,everyday,never,olive oil
female,living with spouse,0,2,160,62,78,2-3 times a week,2-3 times a week,4-6 times a week,everyday,4-6 times a week,sunflower oil
male,living with spouse,0,2,170,69,84,2-3 times a week,never,4-6 times a week,everyday,never,sunflower oil
female,living with spouse,4,0,164,80,65,2-3 times a week,once a week,2-3 times a week,2-3 times a week,less than one a week,olive oil
female,single,2,0,160,53,71,2-3 times a week,2-3 times a week,everyday,everyday,never,peanut oil
male,living with spouse,0,0,175,75,70,2-3 times a week,2-3 times a week,everyday,everyday,2-3 times a week,peanut oil
female,single,0,2,161,56,71,4-6 times a week,2-3 times a week,4-6 times a week,everyday,everyday,margarine
female,living with spouse,0,2,168,70,69,4-6 times a week,2-3 times a week,everyday,4-6 times a week,everyday,margarine
male,living with spouse,0,2,175,85,77,4-6 times a week,2-3 times a week,everyday,4-6 times a week,everyday,margarine
male,single,0,2,186,85,74,once a week,4-6 times a week,everyday,everyday,never,olive oil
male,living with spouse,0,2,176,75,86,4-6 times a week,once a week,4-6 times a week,everyday,never,sunflower oil
female,living with spouse,0,2,158,73,79,4-6 times a week,once a week,4-6 times a week,everyday,never,sunflower oil
female,single,0,4,167,69,71,everyday,4-6 times a week,everyday,everyday,everyday,olive oil
male,living with spouse,3,0,186,63,72,4-6 times a week,2-3 times a week,everyday,4-6 times a week,4-6 times a week,peanut oil
female,living with spouse,3,0,165,67,70,4-6 times a week,2-3 times a week,everyday,4-6 times a week,everyday,peanut oil
female,living with spouse,0,2,168,69,66,2-3 times a week,2-3 times a week,everyday,everyday,everyday,butter
female,single,0,2,156,57,68,4-6 times a week,once a week,4-6 times a week,4-6 times a week,2-3 times a week,margarine
female,single,0,0,164,90,68,2-3 times a week,once a week,2-3 times a week,once a week,less than one a week,sunflower oil
female,single,1,1,163,45,74,4-6 times a week,2-3 times a week,everyday,everyday,everyday,mix of vegetables oil
male,single,0,0,170,77,72,4-6 times a week,4-6 times a week,everyday,less than one a week,everyday,sunflower oil
male,single,0,0,172,74,73,4-6 times a week,less than one a week,everyday,2-3 times a week,everyday,sunflower oil
female,single,4,0,162,51,78,everyday,less than one a week,everyday,4-6 times a week,everyday,sunflower oil
female,single,2,1,163,75,89,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,margarine
male,living with spouse,0,2,178,80,67,everyday,2-3 times a week,once a week,2-3 times a week,2-3 times a week,sunflower oil
female,single,0,2,148,50,87,everyday,once a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,2,0,155,71,81,everyday,once a week,less than one a week,everyday,less than one a week,sunflower oil
male,living with spouse,2,0,168,65,70,everyday,once a week,less than one a week,everyday,less than one a week,sunflower oil
female,single,0,0,165,60,77,everyday,2-3 times a week,everyday,everyday,everyday,sunflower oil
male,living with spouse,0,0,163,71,86,4-6 times a week,once a week,4-6 times a week,everyday,everyday,peanut oil
female,living with spouse,0,0,154,50,78,4-6 times a week,once a week,4-6 times a week,everyday,everyday,peanut oil
female,single,0,1,163,61,70,everyday,less than one a week,once a week,everyday,everyday,sunflower oil
female,living with spouse,9,0,159,68,74,4-6 times a week,2-3 times a week,once a week,everyday,never,colza oil
male,living with spouse,2,1,181,76,78,4-6 times a week,2-3 times a week,everyday,everyday,everyday,olive oil
female,living with spouse,4,1,154,53,76,4-6 times a week,2-3 times a week,everyday,everyday,everyday,olive oil
male,living with spouse,0,2,172,75,76,2-3 times a week,4-6 times a week,everyday,everyday,less than one a week,olive oil
female,living with spouse,2,0,163,58,67,once a week,4-6 times a week,everyday,everyday,2-3 times a week,olive oil
female,single,1,1,158,42,67,less than one a week,once a week,everyday,once a week,everyday,peanut oil
female,single,0,3,150,56,77,4-6 times a week,once a week,once a week,everyday,never,peanut oil
female,single,0,2,153,48,72,2-3 times a week,2-3 times a week,4-6 times a week,4-6 times a week,4-6 times a week,sunflower oil
male,living with spouse,0,1,170,55,74,everyday,once a week,everyday,everyday,less than one a week,butter
female,living with spouse,2,3,164,54,75,everyday,2-3 times a week,everyday,everyday,less than one a week,margarine
male,living with spouse,2,3,165,64,78,everyday,2-3 times a week,everyday,everyday,less than one a week,margarine
female,single,0,2,151,38,66,4-6 times a week,4-6 times a week,everyday,everyday,everyday,margarine
male,living with spouse,0,1,172,78,84,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,sunflower oil
female,living with spouse,0,2,153,64,82,2-3 times a week,once a week,everyday,everyday,less than one a week,sunflower oil
male,single,0,1,173,75,80,4-6 times a week,2-3 times a week,everyday,4-6 times a week,once a week,olive oil
male,living with spouse,0,3,188,75,75,everyday,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,0,3,160,58,69,everyday,2-3 times a week,everyday,everyday,less than one a week,sunflower oil
male,living with spouse,0,3,174,73,69,4-6 times a week,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,0,2,150,40,70,4-6 times a week,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,single,0,2,168,63,69,2-3 times a week,2-3 times a week,4-6 times a week,everyday,less than one a week,peanut oil
female,living with spouse,2,1,162,55,65,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,peanut oil
female,single,10,1,158,63,75,everyday,once a week,everyday,everyday,everyday,sunflower oil
female,single,0,2,140,56,84,2-3 times a week,less than one a week,2-3 times a week,2-3 times a week,4-6 times a week,peanut oil
male,single,0,3,172,74,81,everyday,less than one a week,everyday,everyday,2-3 times a week,margarine
female,single,1,0,156,54,79,2-3 times a week,everyday,everyday,everyday,never,olive oil
female,living with family,0,0,160,60,76,4-6 times a week,2-3 times a week,everyday,once a week,once a week,sunflower oil
male,living with spouse,0,3,170,75,71,4-6 times a week,once a week,everyday,everyday,2-3 times a week,peanut oil
female,living with spouse,2,0,165,69,77,everyday,once a week,everyday,everyday,less than one a week,peanut oil
male,living with spouse,0,3,163,70,70,everyday,2-3 times a week,everyday,everyday,once a week,peanut oil
female,living with spouse,0,3,160,50,70,2-3 times a week,once a week,everyday,everyday,less than one a week,peanut oil
male,living with spouse,0,3,165,75,73,2-3 times a week,once a week,everyday,everyday,less than one a week,peanut oil
female,living with spouse,0,3,156,53,71,everyday,less than one a week,everyday,everyday,never,sunflower oil
male,living with spouse,0,2,178,82,76,everyday,once a week,everyday,everyday,everyday,sunflower oil
female,living with spouse,0,4,160,75,69,4-6 times a week,once a week,once a week,everyday,less than one a week,peanut oil
female,single,0,3,171,72,75,everyday,2-3 times a week,everyday,everyday,less than one a week,margarine
female,living with family,0,1,156,64,80,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,butter
female,single,0,3,150,60,76,2-3 times a week,2-3 times a week,everyday,2-3 times a week,less than one a week,mix of vegetables oil
female,single,0,4,162,53,65,4-6 times a week,2-3 times a week,everyday,everyday,everyday,margarine
female,living with spouse,3,0,164,67,67,4-6 times a week,2-3 times a week,everyday,everyday,less than one a week,mix of vegetables oil
male,living with spouse,0,2,178,66,70,4-6 times a week,2-3 times a week,everyday,everyday,less than one a week,mix of vegetables oil
female,living with spouse,1,2,166,55,76,4-6 times a week,2-3 times a week,everyday,everyday,never,butter
female,single,0,3,151,60,72,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,sunflower oil
male,living with spouse,0,2,169,74,77,2-3 times a week,once a week,everyday,once a week,once a week,sunflower oil
female,living with spouse,0,0,155,45,73,2-3 times a week,2-3 times a week,everyday,everyday,never,margarine
male,single,0,1,176,75,77,2-3 times a week,2-3 times a week,everyday,everyday,2-3 times a week,olive oil
male,single,0,5,171,74,70,everyday,once a week,never,2-3 times a week,once a week,butter
female,living with family,0,3,165,75,73,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,sunflower oil
male,living with spouse,4,0,176,82,66,2-3 times a week,2-3 times a week,everyday,everyday,never,olive oil
female,single,1,1,158,55,85,2-3 times a week,2-3 times a week,2-3 times a week,4-6 times a week,2-3 times a week,peanut oil
female,single,0,3,153,69,72,2-3 times a week,2-3 times a week,less than one a week,4-6 times a week,once a week,olive oil
female,single,0,2,155,64,78,once a week,never,everyday,2-3 times a week,never,peanut oil
female,single,0,2,155,65,82,4-6 times a week,4-6 times a week,everyday,less than one a week,never,mix of vegetables oil
female,single,0,0,169,60,75,2-3 times a week,2-3 times a week,everyday,4-6 times a week,once a week,mix of vegetables oil
female,single,2,0,148,60,73,2-3 times a week,less than one a week,2-3 times a week,4-6 times a week,2-3 times a week,sunflower oil
female,single,0,0,156,52,72,4-6 times a week,once a week,never,everyday,everyday,sunflower oil
male,living with family,0,2,166,92,79,everyday,once a week,everyday,everyday,never,duck or goose fat
female,single,0,5,155,57,69,once a week,less than one a week,once a week,4-6 times a week,everyday,sunflower oil
female,living with family,2,1,154,78,66,4-6 times a week,2-3 times a week,2-3 times a week,everyday,never,sunflower oil
male,single,0,3,164,78,75,2-3 times a week,2-3 times a week,everyday,everyday,never,olive oil
male,living with spouse,0,2,175,56,75,everyday,2-3 times a week,everyday,everyday,less than one a week,duck or goose fat
female,living with spouse,0,2,162,71,73,everyday,2-3 times a week,everyday,everyday,never,duck or goose fat
female,living with spouse,0,1,158,65,69,once a week,once a week,everyday,everyday,everyday,peanut oil
female,living with spouse,0,3,154,51,76,4-6 times a week,2-3 times a week,everyday,everyday,never,sunflower oil
female,single,0,2,160,70,72,everyday,2-3 times a week,everyday,everyday,never,peanut oil
female,single,0,2,163,72,72,everyday,2-3 times a week,everyday,everyday,never,peanut oil
female,living with spouse,0,1,152,53,78,2-3 times a week,once a week,everyday,everyday,2-3 times a week,sunflower oil
female,single,0,1,163,62,68,2-3 times a week,2-3 times a week,2-3 times a week,everyday,never,mix of vegetables oil
female,single,3,1,170,61,83,less than one a week,everyday,everyday,everyday,everyday,olive oil
male,living with spouse,0,1,182,74,75,2-3 times a week,2-3 times a week,everyday,4-6 times a week,once a week,mix of vegetables oil
female,living with spouse,2,1,163,68,70,2-3 times a week,2-3 times a week,everyday,4-6 times a week,once a week,mix of vegetables oil
male,living with spouse,0,2,170,75,74,2-3 times a week,2-3 times a week,everyday,4-6 times a week,less than one a week,margarine
female,living with spouse,6,0,158,62,75,2-3 times a week,2-3 times a week,everyday,4-6 times a week,never,margarine
male,living with spouse,0,2,182,90,66,everyday,once a week,everyday,2-3 times a week,less than one a week,olive oil
female,living with family,1,0,164,64,77,everyday,2-3 times a week,everyday,everyday,4-6 times a week,olive oil
female,single,0,2,156,68,72,2-3 times a week,2-3 times a week,everyday,2-3 times a week,less than one a week,butter
male,living with spouse,0,2,172,91,73,once a week,4-6 times a week,everyday,4-6 times a week,less than one a week,olive oil
male,living with spouse,0,2,162,75,65,4-6 times a week,once a week,4-6 times a week,everyday,less than one a week,peanut oil
female,living with spouse,0,1,150,48,73,everyday,2-3 times a week,everyday,everyday,everyday,sunflower oil
female,single,2,1,160,65,81,4-6 times a week,2-3 times a week,4-6 times a week,everyday,4-6 times a week,peanut oil
female,single,0,2,152,54,69,2-3 times a week,2-3 times a week,everyday,2-3 times a week,4-6 times a week,margarine
male,single,0,2,165,54,70,2-3 times a week,2-3 times a week,everyday,once a week,less than one a week,margarine
female,living with spouse,0,3,155,63,71,4-6 times a week,2-3 times a week,everyday,everyday,never,sunflower oil
male,living with spouse,0,2,168,67,73,4-6 times a week,2-3 times a week,everyday,everyday,never,sunflower oil
female,living with family,0,1,154,63,74,everyday,once a week,everyday,everyday,never,mix of vegetables oil
male,living with spouse,0,0,176,74,72,2-3 times a week,2-3 times a week,everyday,2-3 times a week,2-3 times a week,butter
female,single,3,1,154,53,71,2-3 times a week,less than one a week,2-3 times a week,less than one a week,4-6 times a week,peanut oil
male,single,0,2,168,67,69,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,peanut oil
female,living with spouse,0,1,163,61,66,once a week,once a week,everyday,2-3 times a week,4-6 times a week,mix of vegetables oil
male,living with spouse,0,1,177,80,74,once a week,once a week,everyday,2-3 times a week,4-6 times a week,mix of vegetables oil
male,living with spouse,4,2,168,73,67,once a week,4-6 times a week,everyday,2-3 times a week,never,olive oil
female,single,0,2,171,65,76,2-3 times a week,2-3 times a week,everyday,everyday,everyday,olive oil
female,single,5,1,160,62,84,2-3 times a week,2-3 times a week,4-6 times a week,everyday,everyday,margarine
female,single,0,3,168,64,84,2-3 times a week,2-3 times a week,everyday,2-3 times a week,everyday,olive oil
female,single,2,2,160,48,78,everyday,2-3 times a week,everyday,everyday,2-3 times a week,sunflower oil
male,living with spouse,4,1,177,67,76,4-6 times a week,everyday,less than one a week,everyday,never,peanut oil
female,living with family,0,2,160,80,71,2-3 times a week,2-3 times a week,4-6 times a week,4-6 times a week,less than one a week,margarine
male,living with spouse,0,3,165,76,80,everyday,less than one a week,everyday,everyday,less than one a week,olive oil
female,living with spouse,1,0,157,80,79,everyday,less than one a week,everyday,everyday,less than one a week,sunflower oil
male,living with spouse,0,1,176,73,66,4-6 times a week,2-3 times a week,everyday,everyday,less than one a week,olive oil
female,living with spouse,0,1,151,48,66,4-6 times a week,2-3 times a week,4-6 times a week,everyday,everyday,olive oil
female,living with spouse,0,5,153,53,69,4-6 times a week,2-3 times a week,everyday,everyday,less than one a week,olive oil
female,living with spouse,2,0,165,64,75,4-6 times a week,2-3 times a week,everyday,4-6 times a week,everyday,olive oil
male,living with spouse,0,0,171,85,73,4-6 times a week,2-3 times a week,everyday,4-6 times a week,less than one a week,olive oil
male,living with spouse,0,5,167,76,82,2-3 times a week,2-3 times a week,everyday,4-6 times a week,everyday,mix of vegetables oil
female,living with spouse,2,1,157,58,77,2-3 times a week,2-3 times a week,everyday,4-6 times a week,everyday,mix of vegetables oil
female,single,0,1,160,73,74,4-6 times a week,2-3 times a week,everyday,everyday,less than one a week,mix of vegetables oil
female,living with spouse,0,3,163,62,68,4-6 times a week,2-3 times a week,4-6 times a week,4-6 times a week,less than one a week,peanut oil
male,living with spouse,0,2,170,74,71,4-6 times a week,2-3 times a week,4-6 times a week,4-6 times a week,less than one a week,peanut oil
female,single,0,2,154,45,77,4-6 times a week,2-3 times a week,2-3 times a week,everyday,2-3 times a week,olive oil
female,living with spouse,2,0,159,63,69,2-3 times a week,2-3 times a week,everyday,everyday,less than one a week,sunflower oil
